PATHWAY_ID1,PATHWAY_ID2,OVERLAP_COUNT
hsa04150,hsa04151,51
hsa04152,hsa04211,51
hsa04210,hsa05170,51
hsa04218,hsa05161,51
hsa04371,hsa05167,51
hsa04390,hsa04550,51
hsa04510,hsa05131,51
hsa04517,hsa05205,51
hsa04621,hsa05170,51
hsa04625,hsa05152,51
hsa04668,hsa05163,51
hsa04723,hsa05163,51
hsa04724,hsa04726,51
hsa04750,hsa05200,51
hsa04912,hsa04935,51
hsa04926,hsa04933,51
hsa04926,hsa05161,51
hsa04928,hsa05163,51
hsa04933,hsa05417,51
hsa05132,hsa05161,51
hsa05142,hsa05170,51
hsa05165,hsa05417,51
hsa05166,hsa05207,51
hsa05208,hsa05225,51
hsa05210,hsa05224,51
hsa05217,hsa05224,51
hsa05217,hsa05225,51
hsa00330,hsa01100,50
hsa00510,hsa01100,50
hsa00982,hsa05204,50
hsa04010,hsa04380,50
hsa04010,hsa05224,50
hsa04010,hsa05226,50
hsa04014,hsa05218,50
hsa04014,hsa05224,50
hsa04015,hsa04935,50
hsa04020,hsa05010,50
hsa04022,hsa05010,50
hsa04024,hsa04915,50
hsa04024,hsa05207,50
hsa04062,hsa04371,50
hsa04071,hsa05163,50
hsa04072,hsa04151,50
hsa04151,hsa05203,50
hsa04211,hsa04213,50
hsa04218,hsa05010,50
hsa04260,hsa04261,50
hsa04380,hsa05170,50
hsa04517,hsa04670,50
hsa04550,hsa05022,50
hsa04620,hsa05135,50
hsa04620,hsa05142,50
hsa04620,hsa05165,50
hsa04621,hsa04936,50
hsa04621,hsa05200,50
hsa04650,hsa05200,50
hsa04660,hsa05417,50
hsa04722,hsa05170,50
hsa04724,hsa04725,50
hsa04724,hsa04728,50
hsa04725,hsa04726,50
hsa04726,hsa04728,50
hsa04810,hsa05132,50
hsa04926,hsa05034,50
hsa04928,hsa05200,50
hsa05010,hsa05169,50
hsa05132,hsa05167,50
hsa05142,hsa05163,50
hsa05152,hsa05162,50
hsa05161,hsa05207,50
hsa05163,hsa05171,50
hsa05165,hsa05207,50
hsa05206,hsa05207,50
hsa05220,hsa05226,50
hsa05223,hsa05225,50
hsa01522,hsa04935,49
hsa04010,hsa05167,49
hsa04014,hsa04024,49
hsa04014,hsa05226,49
hsa04014,hsa05231,49
hsa04022,hsa04970,49
hsa04062,hsa04081,49
hsa04082,hsa04728,49
hsa04151,hsa04725,49
hsa04151,hsa04910,49
hsa04151,hsa05168,49
hsa04217,hsa05200,49
hsa04270,hsa04611,49
hsa04380,hsa05161,49
hsa04512,hsa04820,49
hsa04620,hsa05152,49
hsa04621,hsa05163,49
hsa04658,hsa05166,49
hsa04728,hsa05170,49
hsa04810,hsa05130,49
hsa04810,hsa05165,49
hsa04911,hsa04925,49
hsa04914,hsa05166,49
hsa04915,hsa04921,49
hsa04916,hsa05225,49
hsa04935,hsa05166,49
hsa04936,hsa05162,49
hsa04936,hsa05168,49
hsa05020,hsa05417,49
hsa05140,hsa05145,49
hsa05163,hsa05215,49
hsa05207,hsa05226,49
hsa05210,hsa05213,49
hsa05212,hsa05225,49
hsa05214,hsa05224,49
hsa00190,hsa04723,48
hsa00280,hsa01100,48
hsa01100,hsa05200,48
hsa04010,hsa04912,48
hsa04010,hsa05218,48
hsa04012,hsa04014,48
hsa04012,hsa05205,48
hsa04015,hsa04926,48
hsa04024,hsa04728,48
hsa04072,hsa05163,48
hsa04081,hsa04926,48
hsa04151,hsa04728,48
hsa04152,hsa04910,48
hsa04152,hsa04931,48
hsa04261,hsa04911,48
hsa04261,hsa05163,48
hsa04270,hsa04912,48
hsa04270,hsa05200,48
hsa04380,hsa05169,48
hsa04611,hsa05163,48
hsa04611,hsa05200,48
hsa04625,hsa04660,48
hsa04650,hsa05417,48
hsa04668,hsa05167,48
hsa04720,hsa05022,48
hsa04723,hsa04932,48
hsa04750,hsa05163,48
hsa04916,hsa05163,48
hsa04916,hsa05205,48
hsa04932,hsa05417,48
hsa04934,hsa05205,48
hsa05022,hsa05130,48
hsa05100,hsa05131,48
hsa05130,hsa05160,48
hsa05142,hsa05161,48
hsa05161,hsa05220,48
hsa05165,hsa05171,48
hsa05167,hsa05235,48
hsa05212,hsa05220,48
hsa05213,hsa05224,48
hsa05213,hsa05225,48
hsa05214,hsa05223,48
hsa01521,hsa04012,47
hsa01522,hsa05205,47
hsa04010,hsa05132,47
hsa04010,hsa05135,47
hsa04012,hsa04510,47
hsa04014,hsa05207,47
hsa04020,hsa04270,47
hsa04022,hsa04611,47
hsa04024,hsa04062,47
hsa04024,hsa04725,47
hsa04024,hsa04926,47
hsa04060,hsa04151,47
hsa04062,hsa04072,47
hsa04068,hsa04218,47
hsa04068,hsa04910,47
hsa04071,hsa04660,47
hsa04081,hsa04725,47
hsa04140,hsa05010,47
hsa04151,hsa04660,47
hsa04210,hsa05161,47
hsa04218,hsa04625,47
hsa04218,hsa05022,47
hsa04261,hsa04725,47
hsa04380,hsa04625,47
hsa04380,hsa04662,47
hsa04530,hsa04670,47
hsa04621,hsa04622,47
hsa04621,hsa05160,47
hsa04625,hsa05200,47
hsa04630,hsa05161,47
hsa04630,hsa05162,47
hsa04659,hsa05321,47
hsa04660,hsa04662,47
hsa04660,hsa05165,47
hsa04660,hsa05166,47
hsa04668,hsa05132,47
hsa04668,hsa05169,47
hsa04723,hsa04926,47
hsa04725,hsa05170,47
hsa04728,hsa05022,47
hsa04810,hsa05218,47
hsa04820,hsa05412,47
hsa04910,hsa05200,47
hsa04916,hsa05224,47
hsa04936,hsa05132,47
hsa04970,hsa04972,47
hsa05022,hsa05169,47
hsa05131,hsa05171,47
hsa05135,hsa05200,47
hsa05163,hsa05214,47
hsa05166,hsa05168,47
hsa05169,hsa05222,47
hsa05200,hsa05231,47
hsa05205,hsa05417,47
hsa05214,hsa05218,47
hsa05235,hsa05417,47
hsa00620,hsa01100,46
hsa01521,hsa04510,46
hsa01521,hsa05225,46
hsa04014,hsa05034,46
hsa04014,hsa05214,46
hsa04015,hsa04915,46
hsa04020,hsa04713,46
hsa04020,hsa05163,46
hsa04022,hsa04911,46
hsa04022,hsa04915,46
hsa04022,hsa04935,46
hsa04024,hsa04082,46
hsa04024,hsa04713,46
hsa04062,hsa04915,46
hsa04066,hsa04151,46
hsa04068,hsa05161,46
hsa04151,hsa04211,46
hsa04151,hsa05164,46
hsa04211,hsa05163,46
hsa04218,hsa05169,46
hsa04270,hsa04750,46
hsa04310,hsa05205,46
hsa04360,hsa04810,46
hsa04360,hsa05200,46
hsa04380,hsa04620,46
hsa04380,hsa05166,46
hsa04380,hsa05200,46
hsa04517,hsa04660,46
hsa04620,hsa04668,46
hsa04630,hsa05165,46
hsa04630,hsa05167,46
hsa04650,hsa05161,46
hsa04660,hsa05167,46
hsa04666,hsa04810,46
hsa04668,hsa05170,46
hsa04723,hsa05200,46
hsa04726,hsa05163,46
hsa04750,hsa04921,46
hsa04912,hsa04915,46
hsa04916,hsa05226,46
hsa04921,hsa04925,46
hsa04933,hsa05161,46
hsa05016,hsa05132,46
hsa05020,hsa05132,46
hsa05022,hsa05152,46
hsa05031,hsa05034,46
hsa05034,hsa05200,46
hsa05131,hsa05169,46
hsa05132,hsa05169,46
hsa05135,hsa05167,46
hsa05145,hsa05164,46
hsa05161,hsa05205,46
hsa05161,hsa05210,46
hsa05161,hsa05235,46
hsa05163,hsa05206,46
hsa05206,hsa05225,46
hsa05215,hsa05226,46
hsa05223,hsa05226,46
hsa00983,hsa05204,45
hsa01521,hsa05205,45
hsa01522,hsa05165,45
hsa01522,hsa05166,45
hsa04010,hsa05010,45
hsa04014,hsa05206,45
hsa04015,hsa05170,45
hsa04015,hsa05224,45
hsa04022,hsa04924,45
hsa04024,hsa04270,45
hsa04024,hsa04911,45
hsa04024,hsa04934,45
hsa04024,hsa05034,45
hsa04062,hsa04510,45
hsa04062,hsa04611,45
hsa04062,hsa05207,45
hsa04145,hsa05323,45
hsa04210,hsa05160,45
hsa04210,hsa05167,45
hsa04217,hsa05417,45
hsa04261,hsa04935,45
hsa04261,hsa04970,45
hsa04270,hsa05163,45
hsa04371,hsa05170,45
hsa04380,hsa04660,45
hsa04380,hsa05163,45
hsa04390,hsa05217,45
hsa04390,hsa05224,45
hsa04622,hsa05169,45
hsa04622,hsa05171,45
hsa04630,hsa05160,45
hsa04658,hsa05200,45
hsa04668,hsa05200,45
hsa04720,hsa04921,45
hsa04722,hsa04910,45
hsa04722,hsa05161,45
hsa04722,hsa05163,45
hsa04722,hsa05167,45
hsa04724,hsa04727,45
hsa04724,hsa04921,45
hsa04724,hsa05200,45
hsa04810,hsa05224,45
hsa04810,hsa05226,45
hsa04921,hsa04971,45
hsa04926,hsa05165,45
hsa04935,hsa05170,45
hsa04936,hsa05152,45
hsa04936,hsa05163,45
